0,0
1,3
0,0
1,3
0,0
1,3
0,0
1,6
0,0
1,3
0,0
1,3
0,0
1,2
0,0
1,2
0,0
1,2
0,0
0,0
2,2
0,0
0,0
0,0
1,2
3,2
0,0
0,0
2,2
6,5
5,3
8,3
7,4
7,7
8,5
17,4
16,4
27,6
26,6
37,6
39,5
49,6
44,5
57,6
61,6
66,6
66,6
78,7
75,4
90,4
84,5
101,4
97,5
94,6
92,7
80,7
82,6
83,7
61,6
69,5
58,7
58,5
50,4
48,5
37,6
39,7
26,4
28,4
19,4
18,5
8,6
7,6
5,6
9,7
2,7
6,6
2,4
5,4
0,0
3,4
0,0
0,0
0,0
1,3
0,0
1,4
0,0
2,7
0,0
1,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,10
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,3
0,0
0,0
0,0
1,3
3,3
0,0
0,0
2,3
0,0
7,5
4,5
9,7
6,6
6,4
3,4
19,5
16,4
21,6
26,6
32,9
36,8
41,6
41,5
53,4
54,4
53,6
66,6
67,5
70,5
77,8
82,6
83,8
92,7
82,6
82,6
73,4
76,5
69,7
61,4
58,4
54,8
48,5
45,5
42,5
36,6
30,8
28,6
24,4
16,6
18,4
9,6
7,5
6,8
9,5
2,7
5,2
2,1
5,1
0,0
3,1
0,0
0,0
0,0
1,4
0,0
0,0
3,4
0,0
1,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,4
0,0
0,0
0,0
1,3
3,3
0,0
0,0
2,4
7,4
4,1
6,4
6,1
16,2
15,1
23,4
24,6
36,5
33,2
40,7
41,6
51,6
54,6
61,6
58,7
69,5
68,5
77,5
82,4
86,6
86,4
92,3
75,4
80,4
72,4
65,4
65,4
60,3
54,5
51,6
42,6
43,6
32,4
36,4
24,6
25,6
15,5
13,5
10,5
5,5
6,5
7,7
3,3
5,5
2,3
5,4
2,5
5,6
0,0
3,6
0,0
0,0
0,0
0,0
1,6
1,6
1,3
1,3
1,3
1,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,6
1,3
0,0
0,0
1,6
2,6
1,6
0,0
1,5
7,5
5,5
6,5
7,6
15,6
14,7
24,5
24,5
32,6
33,6
41,7
48,6
51,7
49,5
54,5
57,5
61,3
61,4
71,5
69,5
82,5
80,5
73,5
75,4
72,4
65,4
54,4
46,5
57,5
50,5
47,4
38,3
43,3
34,2
34,2
24,4
22,2
18,2
15,2
9,2
6,2
5,2
8,2
2,2
5,2
2,2
5,2
1,2
6,2
0,0
2,2
1,2
0,0
0,0
1,2
0,0
0,0
2,2
2,2
0,0
1,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,2
1,2
0,0
0,0
1,2
3,2
0,0
0,0
2,2
7,2
4,2
6,2
7,2
7,2
5,2
5,2
10,2
17,4
18,2
28,2
32,3
38,5
37,4
53,4
53,5
62,6
58,5
68,5
63,6
78,5
69,8
83,7
87,4
86,6
93,5
95,5
